"Username","IDRistorante","Stelle","Commento","Data","Risposta"
"flosh04","R0001","5","Ottimo","01/09/2025","Grazie mille!"
"scolapasta","R0307","2","Locale poco pulito!","02/09/2025",""
"scolapasta","R33FE23CC","5","Si mangia molto bene! Aperitivi ottimi!","02/09/2025","Grazie, ci vediamo presto!"
"avasimty05","R6486","4","Ok, tutto apposto.","02/09/2025",""
"deb72","R177C5EBB","3","Costo troppo elevato.","02/09/2025","La qualità dei nostri prodotti ha un prezzo!"
"deb72","R8278","4","porzioni poco generose ma molto buono","03/09/2025",""
"annared3","R1387","5","Ottimo per cene di gruppo, ambiente molto familiare e personale cordialissimo!","04/09/2025",""
"annared3","R9827","4","Locale tipico con cucina eccellente, peccato per la location.","04/09/2025",""
"annared3","R13016","5","Birra artigianale buonissima!","04/09/2025",""
"barubike","R33FE23CC","4","Ottimo per un buon aperitivo post pedalata. A pranzo offre però una scelta ridotta.","04/09/2025",""
"barubike","R9115","3","Non vale quel che costa.","04/09/2025",""
